MNEMONIC,OPCODE,/d,+r,EQIV,KeepOV,Op1_t,Op2_t,Imm3,Read1,Read2,R1->1,R2->2,R2->reg,Scale_OV,Out_reg,Imm_val
CALL,FF,2,,CALL,1,r/m,,,1,,,,,,,
CALL,FF,3,,CALL,1,m16:32,,,1,,,,,,,
CALL,9A,,,CALL,1,ptr16:32,,,1,,,,,,,
CBW,98,,,CBW,1,A,,,1,,1,,,,,
CLC,F8,,,CLC,,,,,,,,,,,,
CLD,FC,,,CLD,,,,,,,,,,,,
CLI,FA,,,CLI,,,,,,,,,,,,
CLTS,0F06,,,CLTS,,,,,,,,,,,,
CMC,F5,,,CMC,,,,,,,,,,,,
CMP,3C,,,CMP,,AL,imm8,,1,1,,,,,,
CMP,3D,,,CMP,1,A,imm,,1,1,,,,,,
CMP,80,7,,CMP,,r/m8,imm8,,1,1,,,,,,
CMP,81,7,,CMP,1,r/m,imm,,1,1,,,,,,
CMP,83,7,,CMP,1,r/m,imm32,,1,1,,,,,,
CMP,38,,,CMP,,r/m8,r8,,1,1,,,,,,
CMP,39,,,CMP,1,r/m,r,,1,1,,,,,,
CMP,3A,,,CMP,,r8,r/m8,,1,1,,,,,,
CMP,3B,,,CMP,1,r,r/m,,1,1,,,,,,
CMPS,A6,,,CMPS,,m8,m8,,1,1,,,,,,
CMPS,A7,,,CMPS,1,m,m,,1,1,,,,,,
CWD,99,,,CWD,1,D,A,,1,1,1,,,,,
DAA,27,,,DAA,,AX,,,1,,1,,,,,
DAS,2F,,,DAS,,AX,,,1,,1,,,,,
DEC,FE,1,,DEC,,r/m8,,,1,,1,,,,,
DEC,FF,1,,DEC,1,r/m,,,1,,1,,,,,
DEC,48,,1,DEC,1,r,,,1,,1,,,,,
DIV,F6,6,,DIV,,AX,r/m8,,1,1,1,,,,,
DIV,F7,6,,DIV,1,A,r/m,,1,1,1,,1,1,D,
ENTER,C8,,,ENTER,,imm16,imm8,,1,1,,,,,,
HLT,F4,,,HLT,,,,,,,,,,,,
IDIV,F6,7,,IDIV,,AX,r/m8,,1,1,1,,,,,
